,state,sat_participation,sat_evidence_based_reading_and_writing,sat_math,sat_total,year
129,Nebraska,3.0,628,631,1260,2019
130,Nevada,20.0,580,576,1156,2019
131,New Hampshire,95.0,533,526,1059,2019
132,New Jersey,82.0,544,545,1090,2019
133,New Mexico,18.0,543,530,1073,2019
134,New York,79.0,531,533,1064,2019
135,North Carolina,51.0,554,546,1100,2019
136,North Dakota,2.0,627,636,1263,2019
137,Ohio,19.0,550,548,1097,2019
138,Oklahoma,22.0,490,472,963,2019
139,Oregon,51.0,562,550,1112,2019
140,Pennsylvania,70.0,545,537,1082,2019
141,Puerto Rico,,483,462,944,2019
142,Rhode Island,100.0,503,492,995,2019
143,South Carolina,68.0,526,504,1030,2019
144,South Dakota,3.0,633,635,1268,2019
145,Tennessee,7.0,618,602,1220,2019
146,Texas,68.0,515,507,1022,2019
147,Utah,4.0,614,615,1230,2019
148,Vermont,66.0,560,546,1106,2019
149,Virgin Islands,,490,445,935,2019
150,Virginia,68.0,567,551,1119,2019
151,Washington,70.0,539,535,1074,2019
152,West Virginia,99.0,483,460,943,2019
153,Wisconsin,3.0,635,648,1283,2019
154,Wyoming,3.0,623,615,1238,2019
